ANO;CODIGO_ESCOLA;CODIGO_INEP;CODIGO_DIRETORIA;NOME_DIRETORIA;NOME_ESCOLA;NOME_MUNICIPIO;ANOS_INICIAIS;ANOS_FINAIS
2024;42626;35042626;20417;CAMPINAS LESTE;SEBASTIAO RAMOS NOGUEIRA PROFESSOR;CAMPINAS;;3,78
2024;42638;35042638;20404;CAMPINAS OESTE;NELI HELENA ASSIS DE ANDRADE PROFESSORA;CAMPINAS;5,90;
2024;42648;35042648;20417;CAMPINAS LESTE;VITORIO JOSE ANTONIO ZAMARION PROFESSOR;CAMPINAS;7,91;
2024;42651;35042651;20417;CAMPINAS LESTE;HILTON FEDERICI PROFESSOR;CAMPINAS;;3,37
2024;42705;35042705;20407;JUNDIAI;MARIA JOSE MAIA DE TOLEDO PROFA;JUNDIAI;;3,49
2024;42730;35042730;20411;PIRASSUNUNGA;CUSTODIO ANGELO DE LIMA DOUTOR;LEME;;4,00
2024;42742;35042742;20413;SAO JOAO DA BOA VISTA;JOSE NOGUEIRA DE BARROS PROFESSOR;SAO JOAO DA BOA VISTA;;3,98
2024;42754;35042754;20413;SAO JOAO DA BOA VISTA;FRANCISCO DIAS PASCHOAL PROFESSOR;SAO JOAO DA BOA VISTA;;2,40
2024;42778;35042778;20501;ARARAQUARA;ALZIRA DIAS DE TOLEDO PIZA PROFA;AMERICO BRASILIENSE;;2,60
2024;42808;35042808;20504;FRANCA;IOLANDA RIBEIRO NOVAIS PROFA;FRANCA;5,75;
2024;42870;35042870;20507;RIBEIRAO PRETO;RAFAEL LEME FRANCO PROFESSOR;RIBEIRAO PRETO;;3,46
